clase,fecha_precio_reciente,fuente,id,id_bolsa,link,moneda,nacional,nombre,tipo
Accion Preferente,2013-06-05,BLOOMBERG,17306N203 PFD,17306N203 PFD,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/17306N203%20PFD/change/?_changelist_filters=e%3D1,USD - United States Dollar,,"CITIGROUP CAPITAL VII 7,125% PFD",PREFERED STOCK
Fondo,2025-08-29,FIJO,2112305D US EQUITY,2112305D US EQUITY,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/2112305D%20US%20EQUITY/change/?_changelist_filters=e%3D1,USD - United States Dollar,,APOLLO DEBT SOLUTIONS DBC,PRIVATE DEBT
Accion Preferente,2019-05-24,BLOOMBERG,222388209 PFD,222388209 PFD,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/222388209%20PFD/change/?_changelist_filters=e%3D1,USD - United States Dollar,,COUNTRYWIDE CAPITAL V 7% PFD,PREFERED STOCK
Accion Preferente,2015-04-01,BLOOMBERG,48125E207 PFD,48125E207 PFD,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/48125E207%20PFD/change/?_changelist_filters=e%3D1,USD - United States Dollar,,JPM CHASE CAPITAL XXIX 6.7% PFD,PREFERED STOCK
Accion Preferente,2019-09-05,BLOOMBERG,949746879 PFD,949746879 PFD,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/949746879%20PFD/change/?_changelist_filters=e%3D1,USD - United States Dollar,,WELLS FARGO & COMPANY 8% PFD,PREFERED STOCK
Bono,2016-07-29,FIJO,A075 CS 6M SPX REN 6.10% 2016,A075 CS 6M SPX REN 6.10% 2016,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/A075%20CS%206M%20SPX%20REN%206.10_25%202016/change/?_changelist_filters=e%3D1,USD - United States Dollar,,A075 CS 6M SPX REN 6.10% 2016,STRUCTURED NOTE
Accion,2019-11-15,BLOOMBERG,AABA US EQUITY,AABA US EQUITY,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/AABA%20US%20EQUITY/change/?_changelist_filters=e%3D1,USD - United States Dollar,,ALTABA INC (YAHOO),RENTA VARIABLE
Fondo,2025-09-21,BLOOMBERG,AACCHIA CI EQUITY,AACCHIA,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/AACCHIA%20CI%20EQUITY/change/?_changelist_filters=e%3D1,CLP - Chile Peso,,ARRAYAN ACCIONES CHILENAS FONDO DE INVERSION,RENTA VARIABLE
Accion,2020-11-06,BLOOMBERG,AAL LN EQUITY,AAL LN EQUITY,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/AAL%20LN%20EQUITY/change/?_changelist_filters=e%3D1,GBP - United Kingdom Pound,,ANGLO AMERICAN PLC,RENTA VARIABLE
Accion,2020-12-21,BLOOMBERG,AAN US EQUITY,AAN,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/AAN%20US%20EQUITY/change/?_changelist_filters=e%3D1,USD - United States Dollar,,AARON RENTS INC,RENTA VARIABLE
Opcion,2017-02-09,BLOOMBERG,AAPL US 01/20/17 P100 EQUITY,AAPL US 01/20/17 P100 EQUITY,https://sistema.buenavistacapital.com/admin/informacion_financiera/activo/AAPL%20US%2001_2F20_2F17%20P100%20EQUITY/change/?_changelist_filters=e%3D1,USD - United States Dollar,,APPLE 20 ENE 2017 100 P,EQUITY OPTION
